Order_ID,Order_Date,Ship_Date,Ship_Days,Customer_ID,Customer_Segment,Region,State,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount_Pct,Discount_Amount,Shipping_Cost,Total_Sales,Cost_Per_Unit,Profit,Sales_Channel,Payment_Method,Customer_Rating,Returned
ORD-00079,2024-11-08,2024-11-12,4,CUST-2838,Corporate,West,Washington,Office Supplies,Stationery,Pilot G2 Pen Pack,13.34,1,15,2.0,13.74,11.34,9.5,1.84,Online,Apple Pay,4,0
ORD-00080,2023-08-28,2023-09-01,4,CUST-2520,Corporate,Midwest,Michigan,Sports & Outdoors,Camping Gear,Yeti Cooler,248.5,2,10,49.7,15.05,447.3,174.92,97.46,Mobile App,Gift Card,2,0
ORD-00081,2024-07-21,2024-07-23,2,CUST-2531,Small Business,Southwest,Utah,Electronics,Tablets,iPad 10th Gen,468.23,3,0,0.0,23.92,1404.69,271.33,590.7,Mobile App,Credit Card,4,0
ORD-00082,2023-08-30,2023-08-31,1,CUST-1021,Small Business,Southeast,Florida,Home & Kitchen,Appliances,Instant Pot Duo 7-in-1,91.92,1,0,0.0,0.0,91.92,56.72,35.2,Online,Debit Card,5,0
ORD-00083,2023-03-23,2023-03-25,2,CUST-3047,Corporate,Northeast,New Jersey,Clothing,Activewear,Reebok Sports Bra,35.96,2,5,3.6,0.0,68.32,21.49,25.34,Online,Apple Pay,2,1
ORD-00084,2024-09-03,2024-09-04,1,CUST-3079,Consumer,Midwest,Wisconsin,Office Supplies,Paper Products,Moleskine Notebook,15.16,1,5,0.76,18.28,14.4,9.07,5.33,In-Store,Gift Card,4,0
ORD-00085,2024-07-21,2024-07-28,7,CUST-1717,Corporate,Northeast,Connecticut,Electronics,Headphones,AirPods Pro 2,257.2,1,0,0.0,17.56,257.2,159.2,98.0,In-Store,Debit Card,1,0
ORD-00086,2024-12-02,2024-12-05,3,CUST-1782,Small Business,West,Washington,Clothing,Men's Apparel,Columbia Jacket,88.13,3,5,13.22,5.83,251.17,49.24,103.45,In-Store,Gift Card,4,0
ORD-00087,2023-10-20,2023-10-22,2,CUST-2738,Consumer,Southeast,Florida,Home & Kitchen,Cookware,Lodge Cast Iron Skillet,29.69,3,5,4.45,11.77,84.62,18.94,27.8,In-Store,Gift Card,3,0
ORD-00088,2023-03-22,2023-03-26,4,CUST-1234,Consumer,Southeast,Georgia,Office Supplies,Printers,Brother Inkjet,146.92,1,0,0.0,8.32,146.92,93.91,53.01,Online,PayPal,4,0
ORD-00089,2023-03-18,2023-03-19,1,CUST-3478,Corporate,Midwest,Indiana,Home & Kitchen,Storage,Sterilite Cart,38.56,2,25,19.28,5.69,57.84,25.89,6.06,Online,PayPal,4,0
ORD-00090,2023-06-07,2023-06-13,6,CUST-2827,Consumer,Midwest,Michigan,Home & Kitchen,Decor,Pottery Barn Throw Pillow,49.48,2,5,4.95,7.26,94.01,33.64,26.73,Online,Gift Card,1,1
ORD-00091,2023-08-08,2023-08-15,7,CUST-2228,Corporate,Southwest,Oklahoma,Sports & Outdoors,Camping Gear,Coleman Tent 4P,125.73,1,0,0.0,21.2,125.73,87.09,38.64,Mobile App,Credit Card,3,0
ORD-00092,2023-06-11,2023-06-16,5,CUST-1269,Consumer,West,Washington,Home & Kitchen,Storage,Container Store Bins,24.09,1,0,0.0,0.0,24.09,17.06,7.03,In-Store,Gift Card,1,1
ORD-00093,2023-11-13,2023-11-16,3,CUST-1528,Small Business,West,Colorado,Office Supplies,Stationery,Sharpie Marker Set,17.79,3,0,0.0,18.59,53.37,12.07,17.16,Online,Gift Card,4,0
ORD-00094,2024-03-19,2024-03-22,3,CUST-3185,Consumer,Midwest,Illinois,Electronics,Monitors,LG 27-inch 4K,365.21,1,0,0.0,15.37,365.21,217.33,147.88,Mobile App,Gift Card,3,0
ORD-00095,2023-04-06,2023-04-13,7,CUST-1124,Consumer,Midwest,Ohio,Office Supplies,Organizers,Bankers Box Set,25.99,1,10,2.6,5.81,23.39,16.05,7.34,Online,Gift Card,2,0
ORD-00096,2024-05-24,2024-05-28,4,CUST-2307,Consumer,Southwest,Utah,Home & Kitchen,Cookware,Cuisinart Knife Set,79.24,1,15,11.89,8.15,67.35,50.77,16.58,In-Store,Gift Card,2,1
ORD-00097,2023-12-20,2023-12-23,3,CUST-1654,Small Business,Northeast,Pennsylvania,Office Supplies,Organizers,Bankers Box Set,24.41,1,5,1.22,0.0,23.19,14.64,8.55,Mobile App,Apple Pay,3,0
ORD-00098,2023-12-02,2023-12-04,2,CUST-2927,Consumer,West,Washington,Clothing,Accessories,Coach Wallet,79.97,1,20,15.99,14.13,63.98,45.42,18.56,Online,Credit Card,4,0
ORD-00099,2023-10-20,2023-10-25,5,CUST-1486,Consumer,Midwest,Illinois,Sports & Outdoors,Camping Gear,Yeti Cooler,246.64,2,15,73.99,8.88,419.29,155.41,108.47,Online,Apple Pay,4,0
ORD-00100,2023-05-12,2023-05-14,2,CUST-3111,Corporate,Southwest,Nevada,Home & Kitchen,Cookware,All-Clad Pan Set,242.47,4,15,145.48,5.9,824.4,158.05,192.2,In-Store,Gift Card,5,0
ORD-00101,2023-05-24,2023-05-30,6,CUST-2706,Consumer,Southeast,Tennessee,Home & Kitchen,Appliances,Keurig K-Slim,107.78,5,10,53.89,15.64,485.01,66.53,152.36,In-Store,Credit Card,2,1
ORD-00102,2024-08-20,2024-08-22,2,CUST-1129,Corporate,Southeast,Florida,Office Supplies,Stationery,Sharpie Marker Set,17.46,5,15,13.1,16.66,74.2,11.62,16.1,In-Store,Apple Pay,4,0
ORD-00103,2024-08-09,2024-08-16,7,CUST-2959,Corporate,Southwest,Texas,Clothing,Men's Apparel,Nike Dri-FIT Tee,35.66,1,0,0.0,23.4,35.66,22.54,13.12,Mobile App,Debit Card,3,0
ORD-00104,2024-06-22,2024-06-26,4,CUST-2219,Consumer,Southeast,Georgia,Sports & Outdoors,Team Sports,Adidas Soccer Ball,25.91,2,10,5.18,10.28,46.64,17.78,11.08,Online,Gift Card,3,0
ORD-00105,2023-10-23,2023-10-27,4,CUST-1323,Small Business,West,Colorado,Home & Kitchen,Decor,Yankee Candle Set,35.77,2,20,14.31,15.85,57.23,21.73,13.77,Mobile App,Debit Card,3,0
ORD-00106,2023-12-21,2023-12-22,1,CUST-2934,Corporate,Midwest,Indiana,Clothing,Women's Apparel,North Face Fleece,97.71,1,10,9.77,9.78,87.94,55.88,32.06,In-Store,Debit Card,3,0
ORD-00107,2023-04-13,2023-04-16,3,CUST-1152,Consumer,West,Washington,Electronics,Monitors,LG 27-inch 4K,363.23,1,20,72.65,24.27,290.58,234.46,56.12,Online,Credit Card,4,0
ORD-00108,2023-06-29,2023-07-02,3,CUST-3225,Consumer,Southeast,Georgia,Electronics,Headphones,AirPods Pro 2,259.3,1,10,25.93,0.0,233.37,157.63,75.74,In-Store,PayPal,3,1
ORD-00109,2024-06-20,2024-06-26,6,CUST-2660,Consumer,Southeast,Georgia,Office Supplies,Stationery,Sharpie Marker Set,16.42,1,0,0.0,8.71,16.42,10.54,5.88,Online,Debit Card,2,1
ORD-00110,2024-03-13,2024-03-16,3,CUST-1967,Consumer,Midwest,Illinois,Sports & Outdoors,Fitness Equipment,Bowflex Dumbbells,365.24,5,5,91.31,13.92,1734.89,201.38,727.99,Mobile App,Gift Card,1,1
ORD-00111,2023-03-05,2023-03-08,3,CUST-3481,Consumer,Midwest,Indiana,Home & Kitchen,Appliances,Keurig K-Slim,114.26,2,20,45.7,17.76,182.82,80.44,21.94,Online,Debit Card,4,0
ORD-00112,2024-01-18,2024-01-23,5,CUST-3070,Consumer,Southeast,Tennessee,Sports & Outdoors,Team Sports,Rawlings Baseball Glove,50.89,3,15,22.9,15.5,129.77,34.05,27.62,In-Store,Gift Card,1,1
ORD-00113,2023-07-27,2023-07-28,1,CUST-2262,Consumer,Midwest,Ohio,Clothing,Footwear,New Balance 574,91.94,1,10,9.19,13.9,82.75,59.56,23.19,In-Store,Apple Pay,5,0
ORD-00114,2023-01-23,2023-01-27,4,CUST-2721,Consumer,Southeast,Florida,Clothing,Activewear,Under Armour Shorts,38.25,1,0,0.0,6.37,38.25,28.64,9.61,Online,Debit Card,5,1
ORD-00115,2024-01-19,2024-01-24,5,CUST-2222,Consumer,Southwest,Nevada,Sports & Outdoors,Running,Garmin Forerunner 55,207.48,1,25,51.87,7.36,155.61,119.63,35.98,Online,Debit Card,4,0
ORD-00116,2024-04-19,2024-04-20,1,CUST-1064,Corporate,Midwest,Wisconsin,Sports & Outdoors,Team Sports,Adidas Soccer Ball,24.61,3,0,0.0,19.49,73.83,14.89,29.16,Online,Gift Card,5,0
ORD-00117,2023-09-04,2023-09-06,2,CUST-3359,Corporate,Northeast,New York,Office Supplies,Desks & Chairs,Herman Miller Aeron,1241.32,2,10,248.26,9.68,2234.38,866.58,501.22,Mobile App,Debit Card,5,0
ORD-00118,2023-11-23,2023-11-29,6,CUST-2410,Corporate,West,Oregon,Clothing,Footwear,Nike Air Max 90,128.87,5,5,32.22,16.82,612.13,77.97,222.28,Mobile App,Apple Pay,3,0
ORD-00119,2024-10-20,2024-10-26,6,CUST-3282,Consumer,Midwest,Wisconsin,Home & Kitchen,Decor,Yankee Candle Set,35.88,1,5,1.79,11.0,34.09,23.13,10.96,Online,Credit Card,3,1
ORD-00120,2024-06-26,2024-06-29,3,CUST-3406,Corporate,Northeast,New Jersey,Home & Kitchen,Appliances,Keurig K-Slim,113.81,2,20,45.52,8.8,182.1,64.7,52.7,Online,Credit Card,5,0
ORD-00121,2024-11-18,2024-11-23,5,CUST-2559,Consumer,Southeast,North Carolina,Home & Kitchen,Furniture,IKEA Kallax Shelf,86.55,4,25,86.55,9.84,259.65,64.91,0.01,In-Store,Debit Card,3,0
ORD-00122,2024-04-22,2024-04-24,2,CUST-1066,Consumer,Midwest,Michigan,Home & Kitchen,Cookware,Cuisinart Knife Set,76.78,2,5,7.68,21.78,145.88,57.3,31.28,Online,Gift Card,5,0
ORD-00123,2023-09-25,2023-10-01,6,CUST-3009,Corporate,Midwest,Wisconsin,Office Supplies,Stationery,Sharpie Marker Set,16.79,1,0,0.0,18.08,16.79,12.03,4.76,Online,Apple Pay,5,0
